,Question,Right_Answer,Grade,Number,Responses,Number of Question,label
10, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,3.625,[11],هي كل سلوك غير قانوني يتم باستخدام الأجهزة الالكترونية، يتم فيه حصول المجرم على فوائد مادية و معنوية مع تحميل الضحية الخسارة .تكونبتواطؤالمجرمينوالمبرمجين,1,1
11, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,4.25,[12],هو سلوك غير قانوني يتم باستخدام الأجهزة الالكترونية ) الهاتف، الكمبيوتر( يتمثل باختراق النظام و يحمل المتضرر خسارة مادية و معنوية، و يكون غالبا الهدف منها القرصنة لأجل سرقة أو اتلاف المعلومات .,1,1
12, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,3.625,[13],هي كل سلوك أو نشاط غير قانوني ، باستعمال الأجهزة الإلكترونية كالهاتف أو الكمبيوتر ، يريد بها المجرم الحصول على فوائد مادية أو معنوية مع تحميل الضحية الخسائر .,1,1
13, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,4.5,[14],سلوك غير قانوني يقوم به شخص باستعمال أدوات إلكترونية قصد الحصول على فائدة مادية أو معنوية و ذلك عن طريق تعدي غير قانوني ينتج عنه إما سرقة أشياء مادية أو أضرار معنوية أو تمديدات أو تجسس.,1,1
14, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,5.0,[15],هو كل سلوك غير قانوني يتم بإستخدام الأجهزة الإلكترونية (كمبيوتر، هاتف محمول و الأنترنت) يقوم من خلاله المجرم بالحصول على فوائد مادية أو معنوية و تحميل الضحية خسائر و غالبا يقوم المجرم بسرقة أو إتلاف المعلومات .,1,1
15, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,3.5,[16],هي سلوك غير قانوني يعتمد على إستعمال الأجهزة الإلكترونية تكون فيها منفعة للجهة القائمة بالجريمة و تقابلها خسارة مادية أو معنوية للضحية .,1,1
16, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,3.5,[17],هي كل سلوك غير قانوني يتم عن طريق الأجهزة الإلكترونية يستخدمها المجرم لأخذ فوائد مادية و معنوية و يفعل بالمستخدم ضحية .,1,1
17, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,3.0,[18],هي جريمة تقع بإستخدام أدوات إلكترونية بطريقة غير قانونية للتحصل على أمور مادية أو معنوية من شخص و يقابله خسائر مادية أو معنوية .,1,1
18, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,3.5,[19],هي كل سلوك غير قانوني يتم بإستخدام الأجهزة الإلكترونية و الأنترنت، يحصل المخترق منها على فوائد مادية أو معنوية ، بينما تحمل الضحية الخسائر .,1,1
19, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,3.0,[20],هي سلوك غير قانوني يتم بإستعمال الأجهزة الإلكترونية و الأجهزة الحديثة تعود بالفائدة على من يقوم بها و تسبب أضرارا لأطراف أخرى و أكثرها التي تتعلق بالاختراق و القرصنة التي تؤدي إلى تخريب البيانات .,1,1
20, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,3.625,[21],هي كل سلوك غير قانوني بإستخدام الأجهزة الإلكترونية سواءا كان هاتف أم حاسوب و ذلك عن طريق الانترنت و يترتب عن ذلك فوائد مادية لمصلحة المخترق مع تكليف الضحية خسائر غالبا .,1,1
21, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,2.5,[22],هو سلوك غير قانوني يتم فيها إستعمال أجهزة إلكترونية و الحصول على فوائد مادية أو غير مادية .,1,1
22, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,0.75,[23],هي كل فعل قانوني يتم عن طريق الأجهزة الإلكترونية .,1,0
23, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,2.25,[24],هو كل سلوك غير قانوني يتم بإستخدام التقنيات الحديثة و يكلف الضحية خسائر كبيرة .,1,0
24, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,4.75,[25],هي فعل غير قانوني يتم بإستخدام الأجهزة الإلكترونية يستفيد فيه المجرم من أرباح مادية أو معنوية مقابل خسارة للضحية غالبا ما يكون هدفه الحصول على البيانات أو إتلافها .,1,1
25, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,3.25,[26],هي سلوك غير قانوني يتم إستهلاك الأجهزة الإلكترونية ، ينتج من خلاله فوائد مادية و معنوية على المجرم و خسائر على الضحية .,1,1
26, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,3.25,[27],هو عملية غير قانونية يرتكبها فرد أو جماعة أفراد بإستخدام أدوات و أفكار في علم المعلوماتية ، سرقة أو إختراق الأنظمة .,1,1
27, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,4.25,[28],هي نشاط غير قانوني يتم عبر الاجهزة الالكترونية بفائدة سرقة او تخريب المعلومات حيث ينتج عنها خسارة للضحية سواء ماديا او معنويا,1,1
28, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,2.5,[29],هو سلوك غير قانوني لاختراق مستخدمي الحاسوب للاستيلاء على معلوماتهم الشخصية واستعمالها لأغراض أخرى.,1,1
29, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,3.5,[30],جرائم تقع بواسطة الانترنت أو فيها بواسطة اشخاص او تنظيمات لهدف سرقة بيانات، تخريب نظام، مواجهة اشخاص او جهات…,1,1
30, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,4.5,[31],هي سلوك غير قانوني في اختراق الأنظمة بإستخدام الوسائل الالكترونية) الانترنت، المحمول، الكمبيوتر( يهدف المجرم الى الاستغلال المادي و المعنوي و يحمل الضحية خسائر مقابلة، يقوم المجرم بالتطلع أو سرقة المعلومات السرية.,1,1
31, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,4.75,[32],هي كل سلوك غير قانوني يتم باستخدام الوسائل الالكترونية (الأجهزة) حيث يحصل المجرم على  فوائد المادية و معنوية و قد يلحق الضرر بالضحية لهدف  سرقة المعلومات أو إتلافها أو الإطلاع عليها.,1,1
32, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,2.75,[33],هي ممارسة غير قانونية تتم عن طريق الأجهزة الذكية و يقوم فيها المجرم بمضايقة و إحراج المستخدم لتحقيق أهداف شخصية,1,1
33, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,1.25,[34],هو كل سلوك يعاقب عليه القانون يحدث بواسطة الأنترنيت.,1,0
34, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,3.875,[35],أساليب و أفعال غير قانونية تستهدف الحواسيب والبرامج الالكترونية بواسطة الهواتف النقالة والانترنت هدفها أخذ أو تغيير أو اتلاف المعلومات و كذا التجسس على الأفراد و تشويه سمعتهم مقابل ربح مادي.,1,1
35, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,4.75,[36],"هي كل سلوك غير قانوني يتم باستخدام أجهزة الكترونية (هاتف ذكي , أنترنت) ينتج عنه الحاق ضرر و أذى لشخص ما عن عمد و يتحصل فيه المجرم على عائد مادي أو معنوي , غالبا ما يكون الهدف من هذه الجرائم هو اتلاف أو سرقة المعلومات .",1,1
36, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,5.0,[37],هي سلوك غير قانوني يتم باستخدام الوسائل الالكترونية) الهاتف ، الكمبيوتر، الانترنت( ينتج عنه استفادة المجرم من المعلومات الشخصية مع خسارة مقابلة للضحية وينتج عنه سرقة معلومات والقرصنة.,1,1
37, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,3.0,[38],هي سلوك اجرامي يعاقب عليه القانون يتم باستخدم أجهزة إلكترونية الهاتف الحاسب الالي إلى اخره بهدف إلى اختراق لغرض التشهير بالضحية.,1,1
38, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,4.75,[39],هي كل جريمة أو مخالفة تقع على النت أو عن طريق الأجهزة الإلكترونية ،بغرض سرقة أو تخريب أو استبدال المعلومات قصد مصلحة ما ، ينتج عنها خسائر مادية أو معنوية للمعتدى عليه.,1,1
39, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,4.75,[40],هو سلوك غير قانوني يتم فيه استخدام التكنولوجيا والإنترنت حيث يتركز على اختراق الأنظمة و البرامج ز ذلك لأسباب مادية أو معنوية مثل سرقة المعلومات و اتلافها، التهديد ، التجسس الإلكتروني… فيترتب عليها نتائج مادية او معنوية للمعني بالاختراق.,1,1
40, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,4.25,[41],هي كل سلوك غير قانوني يتم عن طريق الانترنت او الاجهزة الالكترونية يستهدف التخريب ،الابتزاز الاستغلال و الاعتداء يكون مخالفا للقيم و القانون مثل :نشر صور غير اخلاقية ،الابتزاز و التشهير، الإطلاع على بيانات المستخدمين دون اذنهم ، استغلال البيانات ،الاعتداء المادي و المعنوي ، نشر افكار متطرفة...,1,1
41, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,5.0,[42],هي كل سلوك غير قانوني يتم باستعمال أجهزة إلكترونية) هاتف، كمبيوتر، انترنت (حيث يستطيع المجرم الاستفادة ماديا أو معنويا مع تحميل خسارة مقابلة للضحية، غالبا ما تكون أهداف الجريمة سرقة أو تغيير أو إتلاف المعلومات.,1,1
42, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,5.0,[43],هي عملية غير قانونية تتم بواسطة الأجهزة الالكترونية) كمبيوتر، هاتف انترنت (ينتج وينجر عنه حصول المجرم على فوائد مادية أو عنوية كما يتحمل الضحية خسائر في المقابل، صدق هذه الجرائم غالبا ما يكون الحصول على معلومات من أجل سرقتها أو اتلافها وتخزينها أو لأغراض أخرى.,1,1
43, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,3.5,[44],هي عمل غير قانوني يتم بواسطة الوسائل الالكترونية (هاتف، انترنت، حاسوب) هدفها أخذ وسلب الضحية معلوماته وأشيائه السرية و غالبا ما يدفع الضحية مقابل هذه الجريمة، هدفها اتلاف و سرقة المعلومات.,1,1
